epoch,train_loss,train_acc,test_loss,test_acc
1,0.007367320282490446,0.7390625,0.007440866026104508,0.4932291666666667
2,0.006320680536887368,0.8453125,0.007037280423104963,0.5734375
3,0.006074704594999989,0.8953125,0.0058726419112180486,0.9046875
4,0.00592408337575564,0.91875,0.005956923604075287,0.88125
5,0.005723340566822941,0.9494791666666667,0.005649222302910103,0.9546875
6,0.0056511940987254376,0.965625,0.005539562693090755,0.9765625
7,0.005605700823570272,0.984375,0.005515436645904775,0.9828125
8,0.0056406635551708075,0.9682291666666666,0.00553509883477954,0.984375
9,0.005572021732699345,0.9765625,0.005493975186135366,0.990625
10,0.005558128818536875,0.9921875,0.005474978172439386,0.99375
11,0.005526391342709338,0.9921875,0.005458895729359181,0.99375
12,0.005495340021128124,0.9921875,0.005450883959459324,0.99375
13,0.00548126593730656,0.9953125,0.0054428207825201295,0.9953125
14,0.005583461724693895,0.9921875,0.005462114394023389,0.9921875
15,0.005518007611912843,0.9921875,0.005439349942812784,0.9953125
16,0.005506603266955514,0.99375,0.005438527806623948,0.9953125
17,0.005541036663948771,0.99375,0.005479468281169344,0.9890625
18,0.005431782848255239,0.996875,0.005508397335489403,0.9875
19,0.005487904851154956,0.996875,0.005428537500230844,0.996875
20,0.005464817547334151,0.9953125,0.005427744144847778,0.996875
21,0.005450463773204172,0.9984375,0.005432878663203217,0.996875
22,0.00548043790285573,0.996875,0.005436416138622695,0.996875
23,0.005444540118044531,0.9984375,0.005409923572499098,1.0
24,0.005475577134374628,0.9984375,0.005410362486646103,1.0
25,0.005500522253127306,0.9984375,0.005420400434155531,0.9984375
26,0.005447731347290659,0.9984375,0.005409795143474452,1.0
27,0.005482248561662902,0.996875,0.005420324339352268,0.9984375
28,0.005501633717166513,1.0,0.005420131809752712,0.9984375
29,0.005479008403150556,0.9859375,0.005462496488522471,0.99375
30,0.005501501483513501,0.996875,0.005427870785831902,0.996875
31,0.0054857367622440445,0.9984375,0.00543687739001813,0.9984375
32,0.005480913548028833,0.996875,0.00542064592166267,0.9984375
33,0.005505561246221824,0.9984375,0.005415317262923386,0.9984375
34,0.005503613147843116,0.9984375,0.005420115002919187,0.9984375
35,0.00550298972152399,0.9984375,0.005420103402003878,0.9984375
36,0.00542209367789053,0.9984375,0.005410895520837787,1.0
37,0.005571330726184105,0.9901041666666666,0.0054229413878478655,0.9984375
38,0.0056887718224400375,0.9640625,0.0060947689034037255,0.8932291666666666
39,0.005600764491272317,0.9796875,0.005430912749391712,0.9984375
40,0.005472358379628916,0.9953125,0.005504736734338669,0.9796875
41,0.005467138731135625,0.996875,0.005440780621229372,0.99375
42,0.005519017539064474,0.9953125,0.00542738228443406,0.9984375
43,0.005503329172963601,0.9885416666666667,0.005422064100262239,0.9984375
44,0.005519899882678999,0.996875,0.005435154298822983,0.9953125
45,0.005434639165814091,0.996875,0.005435004775082411,0.996875
46,0.005510959305634292,0.996875,0.005410599123054282,1.0
47,0.00542137734592496,0.9984375,0.005420495787633168,0.9984375
48,0.005474772799444322,0.9984375,0.005420215661001144,0.9984375
49,0.005502654814174211,0.9984375,0.005409560395201355,1.0
50,0.005464215946024329,1.0,0.0054202423362456065,0.9984375
51,0.0054757206668871565,0.9984375,0.005409546518621022,1.0
52,0.005465015045024677,1.0,0.005409933562006291,1.0
53,0.0054373534742912,1.0,0.005409435541891887,1.0
54,0.005534733945012586,0.9984375,0.005409446370541474,1.0
55,0.0054525605396501114,0.996875,0.005423144142308351,0.9984375
56,0.005423531525338487,0.9984375,0.0054095821191896725,1.0
57,0.005468365837450072,0.9953125,0.005430757922502073,0.996875
58,0.005483259282261989,0.996875,0.005423322626333965,0.996875
59,0.005443280038171079,0.9984375,0.0054099165426130524,1.0
60,0.005420576303065678,0.9984375,0.005422206680011152,0.9984375
61,0.00543614869747962,1.0,0.0054204180621269665,0.9984375
62,0.0055305782349314506,0.9984375,0.0054094918592486755,1.0
63,0.005477809513353332,0.9984375,0.005419895104208715,0.9984375
64,0.005440702613689048,0.9984375,0.005414297124532683,0.9984375
65,0.0055199796680393065,1.0,0.0054200118573230266,0.9984375
66,0.005492204887913313,1.0,0.0054096028216742194,1.0
67,0.005502647853569904,0.9984375,0.005409411817660107,1.0
68,0.005435908794511742,1.0,0.005419949123342045,0.9984375
69,0.0054360624766591975,1.0,0.005419871444960349,0.9984375
70,0.005446667917468206,0.9984375,0.005420037793034792,0.9984375
71,0.005436183813142699,1.0,0.005419905671171234,0.9984375
72,0.005446382137336627,0.9984375,0.00540937909503092,1.0
73,0.00546374087268105,1.0,0.005409375870093755,1.0
74,0.005536052892304881,0.996875,0.005409400617337657,1.0
75,0.005446341802532272,0.9984375,0.005409368008222834,1.0
76,0.0054743089343175875,0.9984375,0.00540937639087153,1.0
77,0.005407920861684259,1.0,0.005419831038124684,0.9984375
78,0.005446629946049575,0.9984375,0.005419839623499342,0.9984375
79,0.005446402524800862,0.9984375,0.005419830255914367,0.9984375
80,0.005463767315577192,1.0,0.005419838083662429,0.9984375
81,0.0055302007861474526,0.9984375,0.005419834782493633,0.9984375
82,0.005446407893160933,0.9984375,0.005419826638202166,0.9984375
83,0.005519585717087161,1.0,0.005409362924261547,1.0
84,0.005502210582622317,0.9984375,0.005419826180417421,0.9984375
85,0.005474263725277143,0.9984375,0.0054093559343607826,1.0
86,0.005502214947649734,0.9984375,0.005419825949261102,0.9984375
87,0.005446335838612713,0.9984375,0.0054093529344921105,1.0
88,0.005502196725207246,0.9984375,0.005419824183958166,0.9984375
89,0.005435812505021789,1.0,0.005419822468440045,0.9984375
90,0.005435784798971981,1.0,0.005409349781730096,1.0
91,0.005502205565649381,0.9984375,0.005419813368312646,0.9984375
92,0.005491670006080039,1.0,0.005409350491748518,1.0
93,0.005502177071046137,0.9984375,0.005409348865834897,1.0
94,0.005491640928248286,1.0,0.005419820861517619,0.9984375
95,0.005463733974234591,1.0,0.005409342168647793,1.0
96,0.005519585488478786,1.0,0.005409346435670071,1.0
97,0.00551957862378672,1.0,0.005419815020933277,0.9984375
98,0.005446354556985508,0.9984375,0.005409345291802643,1.0
99,0.005446343910089916,0.9984375,0.005409338829162413,1.0
100,0.005474227862565646,0.9984375,0.00540934134456812,1.0
